product_name,category,sub_category,product_id
Bush Somerset Collection Bookcase,Furniture,Bookcases,FUR-BO-10001798
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,FUR-CH-10000454
Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,OFF-LA-10000240
Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,FUR-TA-10000577
Eldon Fold 'N Roll Cart System,Office Supplies,Storage,OFF-ST-10000760
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,FUR-FU-10001487
Newell 322,Office Supplies,Art,OFF-AR-10002833
Mitel 5320 IP Phone VoIP phone,Technology,Phones,TEC-PH-10002275
DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,OFF-BI-10003910
Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,OFF-AP-10002892
Chromcraft Rectangular Conference Tables,Furniture,Tables,FUR-TA-10001539
Konftel 250 Conference phone - Charcoal black,Technology,Phones,TEC-PH-10002033
Xerox 1967,Office Supplies,Paper,OFF-PA-10002365
Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,OFF-BI-10003656
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,OFF-AP-10002311
Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,OFF-BI-10000756
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,OFF-ST-10004186
Fellowes Super Stor/Drawer,Office Supplies,Storage,OFF-ST-10000107
Newell 341,Office Supplies,Art,OFF-AR-10003056
Cisco SPA 501G IP Phone,Technology,Phones,TEC-PH-10001949
"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,OFF-BI-10002215
Newell 318,Office Supplies,Art,OFF-AR-10000246
"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,OFF-AP-10001492
"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,FUR-CH-10002774
